"","V1"
"1",17918.348625
"2",25394.158125
"3",20921.463
"4",16632.486
"5",12949.9695
"6",13125.375
"7",14270.571
"8",17437.5135
"9",25404.8454
"10",23795.21205
"11",15336.135
"12",12710.179125
"13",13421.446875
"14",14182.1118
"15",17401.9365
"16",25396.4808
"17",22550.5233
"18",13050.2385
"19",12458.9097
"20",13139.8659
"21",13625.901
"22",17779.19895
"23",26155.402875
"24",23719.293
"25",12910.5009
"26",12315.84075
"27",13036.3965
"28",13333.005
"29",17790.7995
"30",25728.9507
"31",23665.176
"32",12607.0587
"33",12327.63975
"34",12910.27275
"35",13540.3056
"36",17987.3487
"37",25848.676125
"38",23844.6423
"39",12106.7325
"40",12312.612
"41",12897.911475
"42",13380.348375
"43",18044.03655
"44",25741.506375
"45",23801.6907
"46",12221.8065
"47",12336.642
"48",12897.911475
"49",13447.84275
"50",18054.8487
"51",25732.134
"52",23821.4385
"53",11987.1225
"54",12328.875
"55",12926.7378
"56",13467.8511
"57",18058.9635
"58",25737.679125
"59",23798.3454
"60",12075.129
